timestamp,dzavan,drozvan,dfact,P_dam,P_idm,P_bm_up,P_bm_down,P_imb_up,P_imb_down,date,hour,cap_sum_MW,down_share,down_bias,charge_polarity,aFRR_MW,aFRR_charge,aFRR_discharge,traj,prev
2024-01-12T00:00:00Z,270.929016113281,3.99800491333008,746.997985839844,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,274.9270210266111,0.01454205882856127,-0.48545794117143876,0.9709158823428775,38.8366352937151,0.6472772548952517,0,0.6472772548952517,0
2024-01-12T00:01:00Z,52.4679794311523,178.232025146484,856.912963867187,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,230.70000457763632,0.7725705314691681,0.2725705314691681,-0.5451410629383362,-21.80564251753345,0,0.3634273752922242,0.2838498796030275,0.6472772548952517
2024-01-12T00:02:00Z,50.31298828125,175.435012817383,859.747985839844,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,225.748001098633,0.7771276465953405,0.2771276465953405,-0.554255293190681,-22.17021172762724,0,0.36950352879378734,-0.08565364919075985,0.2838498796030275
2024-01-12T00:03:00Z,84.2809829711914,128.719009399414,822.188049316406,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,212.9999923706054,0.6043146197651112,0.10431461976511125,-0.2086292395302225,-8.3451695812089,0,0.139086159686815,-0.22473980887757486,-0.08565364919075985
2024-01-12T00:04:00Z,111.93497467041,101.06502532959,795.065002441406,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,213,0.4744836869933803,-0.025516313006619717,0.051032626013239435,2.0413050405295774,0.03402175067549296,0,-0.1907180582020819,-0.22473980887757486
2024-01-12T00:05:00Z,109.772956848145,106.127044677734,797.22705078125,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,215.90000152587902,0.4915564795168054,-0.008443520483194578,0.016887040966389155,0.6754816386555662,0.011258027310926103,0,-0.1794600308911558,-0.1907180582020819
2024-01-12T00:06:00Z,131.031982421875,79.1790313720703,770.379028320313,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,210.2110137939453,0.3766645236280711,-0.12333547637192888,0.24667095274385775,9.86683810975431,0.1644473018292385,0,-0.015012729061917307,-0.1794600308911558
2024-01-12T00:07:00Z,113.528984069824,99.2270202636719,790.326965332031,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,212.75600433349592,0.46638881273655214,-0.03361118726344786,0.06722237452689572,2.688894981075829,0.04481491635126381,0,0.029802187289346506,-0.015012729061917307
2024-01-12T00:08:00Z,94.3719635009766,115.728034973145,806.828002929688,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,210.0999984741216,0.5508235878802228,0.05082358788022279,-0.10164717576044557,-4.065887030417823,0,0.06776478384029705,-0.03796259655095054,0.029802187289346506
2024-01-12T00:09:00Z,89.6079711914063,120.49201965332,811.592041015625,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,210.0999908447263,0.573498452659949,0.07349845265994903,-0.14699690531989806,-5.8798762127959225,0,0.09799793687993204,-0.13596053343088257,-0.03796259655095054
2024-01-12T00:10:00Z,90.8069534301758,119.293045043945,810.39306640625,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,210.0999984741208,0.5677917463604313,0.06779174636043128,-0.13558349272086256,-5.423339708834503,0,0.0903889951472417,-0.2263495285781243,-0.13596053343088257
2024-01-12T00:11:00Z,99.5809783935547,107.619018554687,801.619018554688,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,207.1999969482417,0.5193968153463346,0.01939681534633464,-0.03879363069266928,-1.5517452277067711,0,0.025862420461779518,-0.2522119490399038,-0.2263495285781243
2024-01-12T00:12:00Z,103.344970703125,109.655029296875,803.654968261719,2923.15,2916.38,3653.93,2923.15,2776.99,3836.63,2024-01-12,0,213,0.514812344116784,0.014812344116784004,-0.02962468823356801,-1.1849875293427203,0,0.019749792155712004,-0.2719617411956158,-0.2522119490399038
