date,hour,aFRR_charge,aFRR_discharge,ystart,low,high
2024-01-12,0,18.653132768049616,2.1228372095061325,0,-2.1228372095061325,18.653132768049616
2024-01-12,1,18.061622444673368,15.287462854152674,16.53029555854348,1.2428327043908052,34.59191800321685
2024-01-12,2,9.685772778807289,5.806336006390472,19.304455149064168,13.498119142673696,28.99022792787146
2024-01-12,3,15.294213566296964,3.6212869538452193,23.183891921480978,19.562604967635757,38.47810548777794
2024-01-12,4,34.12868618048538,0,34.85681853393273,34.85681853393273,68.98550471441811
2024-01-12,5,7.9578910865525945,10.99668170742109,68.9855047144181,57.98882300699701,76.94339580097069
2024-01-12,6,5.737109886461641,23.01383248508588,65.9467140935496,42.93288160846372,71.68382398001124
2024-01-12,7,3.4096359674415138,21.046269425456103,48.669991494925384,27.62372206946928,52.0796274623669
2024-01-12,8,4.613948553450661,8.37468948070793,31.033358036910798,22.65866855620287,35.64730659036146
2024-01-12,9,0.6228050189975182,9.916962363294791,27.272617109653535,17.355654746358745,27.895422128651052
2024-01-12,10,22.1572516645827,1.8653182870733953,17.978459765356252,16.113141478282856,40.13571142993895
2024-01-12,11,26.19400151363201,2.8560382407892737,38.27039314286558,35.414354902076305,64.46439465649759
2024-01-12,12,31.204849825703747,0,61.60835641570831,61.60835641570831,92.81320624141205
2024-01-12,13,0.9740024481930254,25.134773939948726,92.81320624141202,67.67843230146329,93.78720868960504
2024-01-12,14,2.8201230239298276,30.16406708351318,68.65243474965624,38.488367666143056,71.47255777358606
2024-01-12,15,1.5572672403631524,19.108090645272426,41.3084906900729,22.200400044800475,42.865757930436054
2024-01-12,16,5.528553305357767,16.933036529276272,23.75766728516362,6.824630755887348,29.28622059052139
2024-01-12,17,13.86441164079194,15.219238011296126,12.353184061245114,-2.866053950051011,26.217595702037055
2024-01-12,18,25.828098920065987,0.033602852186164586,10.998357690740939,10.964754838554773,36.82645661080693
2024-01-12,19,12.294924012817086,8.62095601923211,36.79285375862077,28.171897739388662,49.08777777143786
2024-01-12,20,8.82327744856377,17.18365331020259,40.46682175220577,23.283168442003177,49.29009920076954
2024-01-12,21,23.012046751026926,3.6908572736554386,32.10644589056695,28.415588616911513,55.118492641593875
2024-01-12,22,14.513355085021342,10.029820062536725,51.427635367938436,41.39781530540171,65.94099045295978
2024-01-12,23,14.111498253138858,15.10321632938618,55.91117039042304,40.80795406103686,70.0226686435619
