month,year,month_num,hours_provided,hours_not_provided,hours_in_month,service_fee,penalties,aFRR_total,balancing_total,IDM_total,trading_total,imbalance_total,grand_total,avg_rate,service_fee_eur,penalties_eur,aFRR_total_eur,balancing_total_eur,IDM_total_eur,trading_total_eur,imbalance_total_eur,grand_total_eur,service_fee_eur_per_mw,penalties_eur_per_mw,aFRR_total_eur_per_mw,balancing_total_eur_per_mw,IDM_total_eur_per_mw,trading_total_eur_per_mw,imbalance_total_eur_per_mw,grand_total_eur_per_mw
2023-11-01,2023,11,660,60,720,19800000,-3600000,16200000,9055211.159337414,-4795702.949030899,5136845.3500000015,-637690.1577386986,24958663.40256782,39.00613,507612.52141650557,-92293.18571209192,415319.33570441365,232148.41255303755,-122947.41747081548,131693.28385051276,-16348.460043041918,639865.1545941066,6768.166952220075,-1230.5758094945588,5537.591142725515,3095.3121673738337,-1639.298899610873,1755.91045134017,-217.9794672405589,8531.535394588089
2023-12-01,2023,12,662,82,744,19860000,-4920000,14940000,11200887.254265383,-5442933.325579421,2386294.4000000004,-775274.9225481125,22308973.40613785,40.50600322580645,490297.69462288386,-121463.47721775371,368834.21740513016,276524.12882664456,-134373.4975587944,58912.116969360424,-19139.75363667041,550757.2120056703,6537.302594971785,-1619.5130295700494,4917.789565401736,3686.9883843552607,-1791.6466341172586,785.4948929248056,-255.1967151556055,7343.429493408938
2024-01-01,2024,1,689,55,744,20670000,-3300000,17370000,15221821.805902379,-9231486.899509856,3252039,-1560239.2706497826,25052134.63574274,41.35634838709677,499802.3473090062,-79794.27896079925,420008.0683482069,368064.93802174286,-223218.1336007434,78634.57792648443,-37726.717456915976,605762.7332387748,6664.031297453416,-1063.9237194773232,5600.107577976092,4907.5325069565715,-2976.2417813432453,1048.4610390197925,-503.02289942554637,8076.836443183664
2024-02-01,2024,2,651,45,696,19530000,-2700000,16830000,3550598.739728398,7181440.66563211,3636651.2,1248491.2674984348,32447181.87285894,40.98238275862069,476546.22999908036,-65881.96728097885,410664.2627181015,86637.1962958041,175232.3848012836,88736.93902619721,30464.096605896182,791734.8794472825,6353.949733321071,-878.4262304130513,5475.52350290802,1155.1626172773879,2336.431797350448,1183.159187015963,406.1879547452824,10556.465059297101
2024-03-01,2024,3,688,56,744,20640000,-3360000,17280000,5909438.626285838,1589181.3227834261,7542963.75,776935.3149878364,33098519.0140571,42.0304935483871,491072.03502710356,-79941.95919045871,411130.07583664486,140598.8397324592,37810.19894410472,179464.07746357424,18485.039060828516,787488.2310376115,6547.627133694714,-1065.8927892061163,5481.734344488598,1874.6511964327892,504.13598592139624,2392.85436618099,246.46718747771354,10499.843080501487
2024-04-01,2024,4,640,80,720,19200000,-4800000,14400000,20170026.296340864,-11526506.51515046,7946559.250000001,-2387283.094574328,28602795.93661608,42.25769666666667,454355.1001241667,-113588.77503104167,340766.32509312505,477310.1206969286,-272767.0323840129,188049.98560814446,-56493.45049271091,676865.9485214744,6058.068001655556,-1514.517000413889,4543.551001241667,6364.134942625715,-3636.893765120172,2507.3331414419263,-753.2460065694788,9024.879313619658
2024-05-01,2024,5,666,78,744,19980000,-4680000,15300000,24806821.9576545,-14730681.674265018,13260460.499999998,-5262463.003054733,33374137.780334745,42.87532580645161,466002.28975970915,-109153.6894932652,356848.6002664439,578580.3720684898,-343570.1396360803,309279.52734074957,-122738.7291891522,778399.6308504508,6213.363863462789,-1455.3825265768694,4757.981336885919,7714.404960913197,-4580.935195147737,4123.7270312099945,-1636.516389188696,10378.661744672678
2024-06-01,2024,6,642,78,720,19260000,-4680000,14580000,26927848.685413063,-16121522.602921093,15624670.950000001,-3724984.8653556993,37286012.167136274,43.591863333333336,441825.57310580666,-107359.48505374741,334466.08805205923,617726.4889895674,-369828.7104555466,358430.903274839,-85451.37969606635,855343.3901648527,5891.007641410755,-1431.4598007166321,4459.547840694123,8236.353186527565,-4931.049472740621,4779.078710331187,-1139.3517292808847,11404.57853553137
2024-07-01,2024,7,680,64,744,20400000,-3840000,16560000,12998364.034174485,-3284184.034454959,14798629.65,-279158.38907806075,40793651.26064147,44.444283870967745,459001.658328572,-86400.31215596649,372601.3461726055,292464.2474139488,-73894.40774858069,332970.37011472427,-6281.086447213853,917860.4695054841,6120.022111047627,-1152.0041620795532,4968.017948968074,3899.523298852651,-985.25876998107594,4439.60493486299,-83.7478192961847,12238.139593406455
2024-08-01,2024,8,675,69,744,20250000,-4140000,16110000,6412471.655677483,-1542601.6469882783,16171855.7,-482650.42064749997,36669075.288041696,45.29121935483871,447106.53165129636,-91408.4464709317,355698.08518036467,141583.10919912127,-34059.61837553119,357063.81789591344,-10656.60027534533,809628.7936245226,5961.420422017285,-1218.7792862790893,4742.641135738196,1887.774789321617,-454.1282450070825,4760.850905278846,-142.08800367127108,10795.050581660302
2024-09-01,2024,9,664,56,720,19920000,-3360000,16560000,-1786940.5026750031,7401066.824076925,13773120.2,608222.8413446844,36555469.36274661,45.79125,435017.6070755876,-73376.46384407501,361641.1432315126,-39023.62356727548,161626.22387632847,300780.61201648787,13282.51229972286,798306.8678567765,5800.234761007835,-978.3528512543335,4821.881909753501,-520.3149808970064,2155.0163183510463,4010.408160219838,177.1001639963048,10644.091571423685
2024-10-01,2024,10,687,57,744,20610000,-3420000,17190000,1472112.2874492984,9944058.388212094,12174726.9,1580526.5450400119,42361424.1207014,45.0154,457843.3158430226,-75974.00000888585,381869.31583413674,32702.414894664904,220903.47721473305,270456.93029496574,35110.79641722637,941042.9346557268,6104.577544573634,-1012.9866667851446,5091.59087778849,436.03219859553207,2945.379696196441,3606.0924039328766,468.1439522296849,12547.239128743024
2024-11-01,2024,11,671,49,720,20130000,-2940000,17190000,-3263823.1928155157,7956886.024889915,8951977.3,2462369.9140607947,33297410.046135195,44.040706666666665,457077.1343965719,-66756.4220132102,390320.7123833617,-74109.23756329787,180671.1705403285,203265.97771818982,55911.226236624,756059.8493152062,6094.361791954292,-890.0856268428028,5204.27616511149,-988.1231675106382,2408.948940537713,2710.213036242531,745.48301648832,10080.797990869416
