month,year,month_num,hours_provided,hours_not_provided,hours_in_month,service_fee,penalties,aFRR_total,balancing_total,IDM_total,trading_total,imbalance_total,grand_total,avg_rate,service_fee_eur,penalties_eur,aFRR_total_eur,balancing_total_eur,IDM_total_eur,trading_total_eur,imbalance_total_eur,grand_total_eur,service_fee_eur_per_mw,penalties_eur_per_mw,aFRR_total_eur_per_mw,balancing_total_eur_per_mw,IDM_total_eur_per_mw,trading_total_eur_per_mw,imbalance_total_eur_per_mw,grand_total_eur_per_mw
2023-11-01,2023,11,688,32,720,20640000,-1920000,18720000,9055211.159337414,-4068173.101508936,10220850.150000002,0,33927888.20782848,39.00613,529147.5980826603,-49223.03237978236,479924.565702878,232148.41255303755,-104295.73765736145,262031.89473039244,0,869809.1353289464,7055.301307768805,-656.3070983970981,6398.994209371706,3095.3121673738337,-1390.6098354314859,3493.7585964052323,0,11597.455137719286
2023-12-01,2023,12,710,34,744,21300000,-2040000,19260000,11200887.254265383,-7874146.364584889,10672546.15,0,33259287.039680496,40.50600322580645,525847.9806378362,-50362.905187849094,475485.0754499871,276524.12882664456,-194394.55235040953,263480.6028751931,0,821095.2548014153,7011.306408504482,-671.5054025046546,6339.801005999828,3686.9883843552607,-2591.927364672127,3513.074705002575,0,10947.936730685537
2024-01-01,2024,1,715,29,744,21450000,-1740000,19710000,15221821.805902379,-9958464.21354573,8141792.750000001,0,33115150.342356645,41.35634838709677,518662.81324519514,-42073.347088421426,476589.4661567737,368064.93802174286,-240796.50650812252,196869.2369498524,0,800727.1346202464,6915.504176602602,-560.9779611789523,6354.526215423649,4907.5325069565715,-3210.6200867749667,2624.9231593313652,0,10676.361794936618
2024-02-01,2024,2,674,22,696,20220000,-1320000,18900000,3550598.739728398,8220506.51111231,6128781.399999999,0,36799886.65084071,40.98238275862069,493382.73274866387,-32208.961781811882,461173.77096685197,86637.1962958041,200586.34851784253,149546.7317285451,0,897944.0475090437,6578.436436648852,-429.4528237574918,6148.983612891359,1155.1626172773879,2674.484646904567,1993.956423047268,0,11972.587300120584
2024-03-01,2024,3,716,28,744,21480000,-1680000,19800000,5909438.626285837,4470617.332550481,9058896,0,39238951.95883632,42.0304935483871,511057.52482471825,-39970.97959522936,471086.54522948887,140598.83973245916,106366.04415324642,215531.51617339576,0,933582.9452885902,6814.100330996243,-532.9463946030581,6281.153936393185,1874.6511964327888,1418.2139220432855,2873.75354897861,0,12447.772603847869
2024-04-01,2024,4,694,26,720,20820000,-1560000,19260000,20170026.296340864,-10590197.546291439,9345465.15,9413.840793918504,38194707.74084334,42.25769666666667,492691.3116971433,-36916.351885088545,455774.95981205476,477310.1206969286,-250609.90971249747,221154.15385078962,222.77221752467744,903852.0968648001,6569.217489295244,-492.21802513451394,6076.99946416073,6364.134942625715,-3341.4654628332996,2948.7220513438615,2.9702962336623657,12051.361291530668
2024-05-01,2024,5,711,33,744,21330000,-1980000,19350000,24806821.95765449,-14445589.843854483,14008157.1,73691.97641882661,43793081.19021883,42.87532580645161,497488.9309596895,-46180.40709330451,451308.523866385,578580.3720684897,-336920.81802631577,326718.38257826463,1718.750237642227,1021405.2107244657,6633.185746129193,-615.7387612440601,6017.446984885133,7714.404960913195,-4492.27757368421,4356.245101043529,22.916669835229694,13618.736142992875
2024-06-01,2024,6,681,39,720,20430000,-2340000,18090000,26927848.685413063,-14524750.706165414,15827844.549999999,16912.23121358708,46337854.76046123,43.591863333333336,468665.4443692435,-53679.742526873706,414985.7018423698,617726.4889895674,-333198.665886319,363091.71803392353,387.9676141454322,1062993.2105936871,6248.872591589913,-715.7299003583161,5533.142691231597,8236.353186527565,-4442.648878484253,4841.22290711898,5.172901521939096,14173.242807915829
2024-07-01,2024,7,699,45,744,20970000,-2700000,18270000,12998364.034174485,2349187.3987841555,15029403.549999999,539.0769333163972,48647494.059891954,44.444283870967745,471826.7046642233,-60750.21948466394,411076.4851795593,292464.2474139488,52856.90743953489,338162.8016244768,12.129274821515066,1094572.5709323413,6291.022728856311,-810.0029264621859,5481.019802394125,3899.523298852651,704.7587658604651,4508.837354993024,0.16172366428686755,14594.300945764551
2024-08-01,2024,8,698,46,744,20940000,-2760000,18180000,6412471.655677483,5969862.412045137,16612707.649999999,0,47175041.71772262,45.29121935483871,462341.272729785,-60938.964313954464,401402.30841583054,141583.10919912127,131810.59148073796,366797.5357396769,0,1041593.5448353667,6164.5503030638,-812.5195241860595,5352.030778877741,1887.774789321617,1757.474553076506,4890.633809862359,0,13887.913931138222
2024-09-01,2024,9,681,39,720,20430000,-2340000,18090000,-1786940.5026750027,14524093.43325117,14910319.2,0,45737472.13057616,45.79125,446155.10605192045,-51101.46589140939,395053.640160511,-39023.62356727547,317180.54067646485,325615.0290721481,0,998825.5863418484,5948.734747358939,-681.3528785521252,5267.381868806813,-520.3149808970063,4229.073875686198,4341.533720961975,0,13317.674484557978
2024-10-01,2024,10,714,30,744,21420000,-1800000,19620000,1472112.2874492984,14394218.961684173,14779244.899999999,0,50265576.14913347,45.0154,475837.1579503903,-39986.31579415045,435850.84215623984,32702.414894664904,319762.10278447316,328315.30765027076,0,1116630.6674856488,6344.495439338538,-533.1508772553393,5811.344562083198,436.03219859553207,4263.494703792975,4377.537435336943,0,14888.40889980865
2024-11-01,2024,11,683,37,720,20490000,-2220000,18270000,-3263823.1928155147,12071704.213318426,14013644.05,1000.5674431474881,41092525.637946054,44.040706666666665,465251.3901532915,-50407.91049977097,414843.47965352057,-74109.23756329784,274103.32683092944,318197.5293009225,22.719150505929395,933057.8173725805,6203.351868710553,-672.1054733302797,5531.246395380274,-988.1231675106378,3654.7110244123924,4242.6337240123,0.3029220067457253,12440.770898301074
2024-12-01,2024,12,702,42,744,21060000,-2520000,18540000,-18561819.225633893,20377521.27684781,12634980.75,801.9513778361775,32991484.75259175,43.72796774193549,481613.9667017565,-57629.02165662043,423984.9450451361,-424483.9214842576,466006.59324274055,288945.0711399731,18.339552905110185,754471.0274964973,6421.519556023421,-768.3869554216058,5653.132600601814,-5659.785619790102,6213.42124323654,3852.600948532975,0.2445273720681358,10059.613699953297
2025-01-01,2025,1,706,38,744,21180000,-2280000,18900000,10039346.50108633,4049376.239368086,13299067.250000004,0,46287789.99045442,43.565400000000004,486165.62685066584,-52335.10997259292,433830.51687807293,230443.1154330347,92949.36438935682,305266.7311673944,0,1062489.7278678587,6482.208358008877,-697.801466301239,5784.406891707639,3072.5748724404625,1239.3248585247577,4070.223082231925,0,14166.529704904782
2025-02-01,2025,2,636,36,672,19080000,-2160000,16920000,21063995.87034558,-11135910.471965455,11388447.35,0,38236532.748380125,43.35843214285714,440052.8122681031,-49817.299502049405,390235.51276605367,485810.8291587675,-256833.79037495898,262658.1909714217,0,881870.7425212838,5867.370830241375,-664.2306600273254,5203.140170214049,6477.4777221169,-3424.4505383327864,3502.1092129522895,0,11758.276566950452
2025-03-01,2025,3,699,45,744,20970000,-2700000,18270000,20482419.98326991,11321411.413490597,15066057.999999998,0,65139889.39676051,44.69091935483871,469222.83772015455,-60414.95764637183,408807.88007378276,458312.79103127844,253326.88557155002,337116.7614695487,0,1457564.3181461599,6256.304502935394,-805.5327686182911,5450.771734317103,6110.837213750379,3377.691807620667,4494.890152927316,0,19434.190908615466
2025-04-01,2025,4,676,44,720,20280000,-2640000,17640000,24850866.379937522,5113909.0908365,16367425.55,0,63972201.02077402,46.43591333333333,436730.93828095985,-56852.54817858649,379878.3901023734,535164.8023276565,110128.31930594452,352473.4278942434,0,1377644.9396302179,5823.079177079465,-758.0339757144866,5065.045201364978,7135.530697702087,1468.377590745927,4699.645705256578,0,18368.59919506957
2025-05-01,2025,5,696,48,744,20880000,-2880000,18000000,21958420.56078645,8238346.690719673,16423961.75,0,64620729.00150612,46.84799032258064,445696.8133793325,-61475.422535080346,384221.39084425214,468716.38270046626,175852.7235425253,350579.8570420999,0,1379370.3541293435,5942.6241783911,-819.672300467738,5122.951877923362,6249.55176933955,2344.702980567004,4674.398093894665,0,18391.60472172458
2025-06-01,2025,6,661,59,720,19830000,-3540000,16290000,13844835.96184512,22859250.709058695,17343085.2,7024.009687208101,70344195.88059103,47.8332,414565.61551391083,-74007.17493289181,340558.44058101904,289439.8861427862,477895.075158231,362574.2204159454,146.8438174156883,1470614.4661153976,5527.541540185478,-986.7623324385575,4540.77920774692,3859.1984819038157,6371.93433544308,4834.3229388792715,1.9579175655425107,19608.192881538635
2025-07-01,2025,7,699,45,744,20970000,-2700000,18270000,24446051.921768453,3424958.487998308,14423164.000000002,0,60564174.40976676,48.87247096774194,429075.9109323766,-55245.8254419369,373830.08549043967,500200.8582276096,70079.50324956838,295118.370616455,0,1239228.8175840727,5721.012145765021,-736.6110058924919,4984.401139872529,6669.344776368128,934.3933766609118,3934.9116082193996,0,16523.05090112097
2025-08-01,2025,8,681,63,744,20430000,-3780000,16650000,25692105.641399708,11644515.461300528,23635840.200000003,2146.809189202248,77624608.11188945,48.15257741935484,424276.35434916924,-78500.47084874497,345775.8835004243,533556.1878162894,241825.38267660904,490853.06471050123,44.58347412031452,1612055.1021779445,5657.018057988923,-1046.672944649933,4610.34511333899,7114.082504217192,3224.3384356881206,6544.7075294733495,0.5944463216041936,21494.06802903926
2025-09-01,2025,9,675,45,720,20250000,-2700000,17550000,27401492.742984053,5168852.96494277,20172053.3,0,70292399.00792682,48.45376,417924.22301179514,-55723.22973490602,362200.99327688914,565518.3982209853,106675.99304868745,416315.5408372849,0,1450710.9253838467,5572.322973490602,-742.9763964654136,4829.346577025189,7540.245309613138,1422.3465739824994,5550.873877830465,0,19342.81233845129
